game_pk,date,away_team,home_team,venue,day_night,away_runs,home_runs,total_runs,total_hr,weather_raw,wind_raw,season
661674,2022-07-16,Chicago White Sox,Minnesota Twins,Target Field,night,6,2,8,2,"83 degrees, Partly Cloudy.","6 mph, Out To RF.",2022
662942,2022-07-15,Detroit Tigers,Cleveland Guardians,Progressive Field,night,5,6,11,1,"77 degrees, Partly Cloudy.","11 mph, R To L.",2022
661874,2022-07-15,Baltimore Orioles,Tampa Bay Rays,Tropicana Field,night,4,5,9,4,"72 degrees, Dome.","0 mph, None.",2022
661719,2022-07-15,Kansas City Royals,Toronto Blue Jays,Rogers Centre,night,1,8,9,2,"74 degrees, Overcast.","8 mph, L To R.",2022
661116,2022-07-16,Cincinnati Reds,St. Louis Cardinals,Busch Stadium,night,3,7,10,1,"92 degrees, Clear.","8 mph, In From RF.",2022
662516,2022-07-15,Atlanta Braves,Washington Nationals,Nationals Park,night,8,4,12,3,"85 degrees, Partly Cloudy.","6 mph, R To L.",2022
661810,2022-07-16,Seattle Mariners,Texas Rangers,Globe Life Field,night,8,3,11,3,"75 degrees, Roof Closed.","0 mph, None.",2022
662923,2022-07-16,Oakland Athletics,Houston Astros,Minute Maid Park,night,5,1,6,1,"73 degrees, Roof Closed.","0 mph, None.",2022
662197,2022-07-16,Arizona Diamondbacks,San Diego Padres,Petco Park,night,3,5,8,2,"70 degrees, Partly Cloudy.","10 mph, L To R.",2022
663385,2022-07-16,Los Angeles Dodgers,Los Angeles Angels,Angel Stadium,night,9,1,10,1,"79 degrees, Clear.","8 mph, Out To CF.",2022
661966,2022-07-16,Cincinnati Reds,St. Louis Cardinals,Busch Stadium,day,3,11,14,3,"99 degrees, Sunny.","11 mph, Out To RF.",2022
661114,2022-07-16,New York Mets,Chicago Cubs,Wrigley Field,day,2,1,3,0,"71 degrees, Cloudy.","5 mph, In From CF.",2022
661673,2022-07-16,Chicago White Sox,Minnesota Twins,Target Field,day,3,6,9,3,"84 degrees, Partly Cloudy.","3 mph, In From CF.",2022
